age,health_score,injury_severity,infection_exposure,food_days,water_days,shelter_quality,medical_supplies,weapon_availability,group_size,distance_to_safe_zone,mobility_score,days_since_outbreak,survived
25,24,1,83,2,16,97,94,2,5,48,93,46,0
49,45,5,69,16,3,91,58,32,6,6,55,8,1
67,49,6,60,22,9,99,16,42,1,7,38,24,0
25,73,6,42,7,9,100,42,11,8,44,50,24,1
34,32,2,48,1,14,86,94,92,1,61,42,53,0
73,48,6,28,30,19,16,67,84,3,54,51,10,0
16,22,4,80,24,11,74,3,97,2,51,30,35,0
19,77,7,30,19,8,31,100,96,6,86,85,4,1
31,95,7,52,25,2,100,7,31,8,48,24,57,1
39,21,6,33,26,14,78,41,19,8,61,32,55,0
17,94,5,37,24,11,67,48,66,7,97,83,44,0
47,47,1,56,28,25,38,5,67,7,40,54,9,0
39,96,5,100,2,14,93,72,16,8,3,48,11,1
27,95,10,3,7,25,9,41,80,5,30,42,43,0
65,21,8,1,26,0,86,71,18,3,24,99,48,1
50,26,1,11,1,14,23,31,3,2,67,35,13,0
48,45,0,34,30,10,99,14,92,3,2,45,27,1
48,95,10,69,29,4,57,81,16,3,44,22,30,1
76,35,4,71,18,6,68,86,63,7,40,42,46,1
66,42,10,20,16,11,100,68,21,1,19,76,39,0
58,59,5,60,4,19,63,26,65,7,63,28,12,1
27,79,2,34,19,24,18,96,41,6,24,70,56,0
80,92,7,47,28,5,100,65,75,10,50,52,60,1
48,51,6,14,16,21,7,58,44,2,20,97,19,1
55,34,1,70,9,2,70,27,10,10,57,43,40,0
58,32,6,14,8,9,39,23,52,1,50,69,4,0
59,24,0,5,21,25,12,50,59,9,95,71,54,1
44,94,8,80,5,20,100,20,28,2,58,90,49,1
28,93,6,67,29,25,26,30,19,4,31,57,34,0
27,71,5,21,10,21,81,74,4,9,37,63,23,1
61,96,1,31,1,29,87,49,24,9,93,75,54,1
17,60,2,21,30,3,1,91,33,1,4,85,45,1
50,72,0,26,29,12,15,39,11,2,58,64,26,0
23,69,9,14,22,18,13,67,27,2,10,71,60,0
41,34,4,43,11,4,16,15,97,2,63,20,53,0
49,26,8,85,11,22,59,75,5,8,36,83,7,0
22,59,5,91,30,26,69,85,18,8,55,27,18,1
73,47,4,8,15,21,98,98,11,10,99,62,42,0
44,51,2,33,24,17,16,62,24,8,57,27,4,0
51,34,4,99,21,0,44,55,12,4,85,48,53,0
36,89,7,72,26,20,37,79,80,8,43,32,8,1
51,84,1,14,23,20,63,23,75,7,65,20,22,0
25,23,4,61,11,27,5,98,2,8,12,48,54,0
39,30,5,44,20,15,59,27,23,1,62,69,53,0
79,45,9,83,17,15,48,92,7,3,24,56,26,1
64,80,7,71,12,15,20,84,99,10,2,20,13,0
51,56,7,57,14,27,98,88,89,6,47,88,46,1
39,42,4,91,15,21,22,30,44,1,56,67,53,0
38,59,8,18,3,18,75,14,71,4,84,74,17,1
77,96,3,15,11,15,56,41,95,9,16,85,44,1
52,42,8,74,16,0,63,98,95,7,34,82,36,0
27,35,10,7,0,30,28,49,0,1,77,41,41,0
70,80,6,32,21,19,26,85,2,6,18,30,47,0
28,87,5,73,30,19,5,4,64,6,29,48,15,1
38,99,3,17,17,9,20,47,14,2,54,22,18,1
45,50,1,34,21,1,70,12,49,6,51,64,27,1
32,72,7,42,15,13,40,31,19,10,14,96,6,0
77,44,5,49,0,7,79,66,2,2,94,22,34,0
28,63,2,2,26,5,4,78,60,8,58,93,41,1
74,31,6,90,9,27,14,90,14,7,35,87,5,0
34,28,9,58,18,2,20,90,58,6,9,33,57,0
64,31,6,27,15,30,57,29,53,10,37,100,12,0
27,88,5,45,13,15,3,5,59,6,12,84,29,0
76,73,1,63,24,16,68,24,36,9,85,76,58,0
34,73,7,69,1,11,6,27,20,9,82,34,37,0
24,47,0,46,23,26,34,61,22,10,11,79,12,0
43,75,0,13,5,18,35,21,98,10,27,73,25,1
67,88,5,6,27,23,14,67,17,2,88,21,47,0
31,96,4,73,21,19,91,14,16,3,43,83,34,1
27,77,8,78,22,2,1,25,30,10,50,47,11,0
40,97,6,30,4,12,56,62,63,7,98,96,23,1
67,94,1,92,11,15,4,17,47,10,20,86,24,0
68,61,6,80,26,10,70,72,25,9,13,22,51,0
38,57,2,50,3,19,85,62,21,6,47,72,49,0
31,87,0,28,21,26,94,61,44,1,8,45,18,1
72,72,10,14,23,15,31,67,35,7,69,23,10,0
54,52,7,89,3,30,71,47,63,1,71,35,5,0
68,90,2,75,4,19,40,49,34,5,64,91,31,0
57,75,10,24,6,1,41,62,74,9,44,73,25,0
73,91,7,60,5,3,74,68,90,10,12,35,53,1
54,70,6,40,12,26,64,5,97,10,4,50,17,1
29,93,1,68,3,27,39,57,81,9,40,21,28,1
20,62,0,3,12,24,82,50,26,1,19,92,1,0
50,34,6,56,3,3,37,11,67,6,54,64,45,0
33,57,0,30,9,27,41,94,16,3,1,73,2,0
24,34,5,2,19,16,36,46,69,9,13,78,49,0
73,24,10,66,0,0,55,8,10,3,50,78,47,0
32,73,9,89,20,0,70,6,4,2,53,41,40,0
22,70,10,49,7,29,54,28,57,8,42,53,2,1
61,29,9,16,6,4,88,77,81,3,25,92,60,0
28,31,7,59,4,21,53,50,56,5,44,75,27,1
55,23,6,73,2,11,21,83,88,6,98,53,8,0
57,37,3,65,14,5,26,54,73,10,99,45,27,0
24,99,0,87,30,5,46,95,79,10,61,90,37,0
65,55,0,74,26,24,37,58,73,1,81,64,17,0
42,44,3,23,16,16,38,55,73,7,90,95,4,1
20,95,4,98,28,25,14,21,99,7,21,100,44,1
44,55,6,86,22,21,65,99,84,5,51,40,50,1
52,86,3,31,12,12,60,17,13,9,76,62,38,1
53,28,9,86,14,7,59,57,71,2,80,58,31,1
23,80,0,97,26,23,7,39,0,5,52,32,5,0
80,72,10,18,18,11,43,88,15,2,63,61,60,1
32,37,9,65,19,14,42,30,25,2,84,64,25,0
60,62,6,59,13,30,5,55,48,9,54,70,28,1
19,54,1,65,20,18,83,34,41,7,10,36,19,0
51,82,10,14,12,28,26,25,69,4,87,82,37,1
46,97,1,84,30,20,44,67,65,8,94,26,42,1
34,23,7,34,11,25,22,83,52,4,59,74,23,0
76,60,9,68,23,19,80,33,8,1,8,23,57,0
69,64,9,26,28,27,12,75,68,10,51,50,51,1
54,69,9,87,22,16,67,15,39,3,5,75,36,0
34,98,4,6,8,8,83,41,55,10,76,23,45,1
54,47,9,5,26,20,63,4,4,1,42,59,13,0
60,61,1,32,2,17,24,60,55,2,78,66,17,1
28,99,4,57,29,27,85,43,71,2,12,69,50,1
73,95,7,48,10,1,51,34,4,7,24,42,51,0
35,88,5,16,9,10,47,90,68,4,45,70,30,1
76,20,2,41,0,22,60,0,51,10,53,57,58,0
54,58,7,93,16,19,16,97,80,9,53,28,55,0
16,36,8,71,27,16,39,42,72,2,17,80,23,0
18,54,4,39,25,20,74,31,97,9,65,99,49,1
77,65,1,45,12,17,88,62,32,6,58,40,57,0
78,61,1,70,13,14,68,32,21,10,37,28,3,0
40,58,6,69,0,6,84,94,84,8,75,44,13,0
71,68,0,67,1,15,25,76,14,7,42,55,32,0
48,81,9,0,1,30,79,65,64,8,70,62,45,1
53,57,1,78,6,24,55,29,70,9,79,97,35,1
21,42,9,94,8,28,39,9,22,8,40,100,2,0
73,41,3,88,23,0,84,22,5,6,23,47,47,0
59,23,0,96,30,27,95,96,83,8,23,83,3,0
60,68,3,51,3,17,67,38,57,8,49,64,54,0
47,78,10,34,1,26,7,44,25,2,76,75,48,0
60,92,9,68,18,21,72,28,11,2,7,67,29,1
76,87,4,4,25,7,44,29,76,1,37,27,10,1
62,90,8,99,4,6,16,33,76,10,16,33,20,0
36,21,0,16,8,24,40,51,1,2,38,34,34,0
51,68,4,52,23,29,76,80,31,7,99,58,15,0
34,50,1,51,12,1,8,21,49,3,40,44,40,0
35,59,8,13,11,11,69,4,94,4,29,82,45,0
72,67,5,28,29,15,90,10,60,4,17,78,1,1
